ID	implicit_class	extra_implicit_class
399886440588247041	white_grievance	
755109998770921473	irony	
251422864232808449	white_grievance	
548214253497249792	stereotypical	
184109665108504579	stereotypical	
929893092299300864	white_grievance	
774362837057667073	white_grievance	
896809946209234946	white_grievance	
847795052093079553	incitement	
835184034854547458	white_grievance	
932309379172495365	white_grievance	
382827832407109632	stereotypical	
892751690620780544	white_grievance	
840324729093283840	stereotypical	
424860910713192449	white_grievance	
537630568553644032	stereotypical	
254700110808752130	incitement	
937051454027771904	incitement	
807666445505138688	incitement	
589152067127746560	incitement	
599638600238682112	stereotypical	
625309687152549888	white_grievance	
770460776993783809	incitement	
844383860410454016	irony	
917599072470687744	other	
286995761617575936	white_grievance	
404019616466206720	stereotypical	
210857835964276737	stereotypical	
184348431093997568	incitement	
811671182831337472	white_grievance	
486237476768731137	white_grievance	
608733922030186496	incitement	
850854244420796416	stereotypical	
945132880056827904	white_grievance	
924278672701444097	threatening	
807328396833419269	white_grievance	
371269803056459778	incitement	
768854642063249409	incitement	
801486977430388742	incitement	
783765215863250945	white_grievance	
917405962130116609	incitement	
902532542078652417	incitement	
740366135279931392	incitement	
729076625762062337	incitement	
799042224700825601	white_grievance	
646686959629299712	other	
898220948121280512	inferiority	
658709610073722880	stereotypical	
663073473682677760	stereotypical	
916785488345817089	stereotypical	
233604811260579841	stereotypical	
339793332182077440	white_grievance	
864976666531045376	irony	
6701886421860352	stereotypical	
272053853212528640	white_grievance	
794275352101031936	white_grievance	
875678865733144576	stereotypical	
909907199962607616	incitement	
829716380786237441	threatening	
677968896150867968	other	
837548964429778944	incitement	
225883495967375361	stereotypical	
765237022596407297	threatening	
930251039420420097	white_grievance	
892862795523411968	white_grievance	
632682513878548480	incitement	
551110655772590080	incitement	
693160492924276737	incitement	
702326068745736192	stereotypical	
901913684284452864	incitement	
402474559539912704	stereotypical	
741348577604046853	white_grievance	
619204021115596800	incitement	
653943876831592448	stereotypical	
909068444150239232	incitement	
829716325429817345	white_grievance	
834167933236555780	stereotypical	
846804703254073344	white_grievance	
756576188890550273	white_grievance	
872170791466565632	stereotypical	
908371865114234881	white_grievance	
934252176846835712	white_grievance	
933450079012257792	stereotypical	
942856631653687296	stereotypical	
430533369454022656	stereotypical	
822819729836490753	white_grievance	
897097524170850304	white_grievance	
900343390121861120	incitement	
838062389115437057	incitement	
911826525493747712	inferiority	
901260614521114625	white_grievance	
926977658608500736	stereotypical	
907417515269267457	incitement	
336579772731768832	white_grievance	
590718234099372032	white_grievance	
845587073104994304	stereotypical	
940426630413062146	stereotypical	
904945183938273281	incitement	
836582871770902528	inferiority	
425049831778709504	white_grievance	
921554247434588160	white_grievance	
868871289242517505	stereotypical	
668843064975233026	other	
771184340021551106	stereotypical	
830067009543143425	inferiority	
799265200511848448	white_grievance	
428590254962905088	other	
838080330938650625	other	
884755238195834880	stereotypical	
867388245671256064	incitement	
924506032541495296	incitement	
758849045204873216	incitement	
945411147385028608	stereotypical	
697255234419232768	white_grievance	
746911812038189058	stereotypical	
934475620951777281	white_grievance	
409449025088155648	stereotypical	
852903030060089348	stereotypical	
896477868133429248	stereotypical	
528987324366204928	stereotypical	
805454636324896769	stereotypical	
900481081375420416	white_grievance	
461956730587336704	stereotypical	
724292061495595008	stereotypical	
906181157821313024	incitement	
923321175194861568	white_grievance	
842056180381962241	white_grievance	
680027730109444096	incitement	
899655162381447168	incitement	
317027698046291968	stereotypical	
598545365869174784	white_grievance	
718346356310568960	stereotypical	
554752494367428608	irony	
888122364029919233	inferiority	
841269476872081408	stereotypical	
900632175812288513	stereotypical	
740743908372553728	irony	
910491697057902592	incitement	
668335319721353216	white_grievance	
925529121660293122	white_grievance	
943486585164783617	white_grievance	
921228227946745856	incitement	
